,lat,lng
0,37.1022615,-76.3871315
1,37.1022614,-76.3871315
2,37.1022614,-76.3871314
3,37.1022613,-76.3871314
4,37.1022613,-76.3871314
5,37.1022612,-76.3871314
6,37.1022612,-76.3871314
7,37.1022611,-76.3871314
8,37.1022611,-76.3871314
9,37.1022611,-76.3871314
10,37.1022611,-76.3871314
11,37.102261,-76.3871314
12,37.102261,-76.3871314
13,37.102261,-76.3871314
14,37.102261,-76.3871314
15,37.102261,-76.3871314
16,37.1022609,-76.3871314
17,37.1022609,-76.3871313
18,37.1022609,-76.3871313
19,37.1022608,-76.3871313
20,37.1022608,-76.3871313
21,37.1022608,-76.3871312
22,37.1022608,-76.3871312
23,37.1022607,-76.3871313
24,37.1022607,-76.3871313
25,37.1022606,-76.3871313
26,37.1022606,-76.3871313
27,37.1022606,-76.3871314
28,37.1022606,-76.3871314
29,37.1022605,-76.3871314
30,37.1022605,-76.3871314
31,37.1022604,-76.3871313
32,37.1022604,-76.3871313
33,37.1022603,-76.3871313
34,37.1022603,-76.3871314
35,37.1022602,-76.3871314
36,37.1022602,-76.3871314
37,37.1022601,-76.3871314
38,37.1022601,-76.3871314
39,37.10226,-76.3871314
40,37.10226,-76.3871315
41,37.10226,-76.3871315
42,37.1022599,-76.3871315
43,37.1022599,-76.3871316
44,37.1022598,-76.3871316
45,37.1022597,-76.3871317
46,37.1022596,-76.3871318
47,37.1022595,-76.3871318
48,37.1022595,-76.3871319
49,37.1022594,-76.3871319
50,37.1022594,-76.387132
51,37.1022593,-76.387132
52,37.1022592,-76.3871321
53,37.1022591,-76.3871321
54,37.102259,-76.3871321
55,37.1022589,-76.3871321
56,37.1022588,-76.3871321
57,37.1022586,-76.3871322
58,37.1022585,-76.3871322
59,37.1022584,-76.3871322
60,37.1022584,-76.3871322
61,37.1022584,-76.3871321
62,37.1022584,-76.387132
63,37.1022584,-76.3871319
64,37.1022585,-76.3871318
65,37.1022586,-76.3871317
66,37.1022587,-76.3871316
67,37.1022588,-76.3871314
68,37.1022589,-76.3871313
69,37.102259,-76.3871311
70,37.1022591,-76.3871309
71,37.1022592,-76.3871308
72,37.1022592,-76.3871307
73,37.1022592,-76.3871306
74,37.1022581,-76.3871295
75,37.1022592,-76.3871305
76,37.1022581,-76.3871292
77,37.1022592,-76.3871305
78,37.1022585,-76.3871289
79,37.1022592,-76.3871305
80,37.1022591,-76.3871286
81,37.1022595,-76.3871303
82,37.1022598,-76.3871301
83,37.1022599,-76.38713
84,37.10226,-76.3871299
85,37.1022601,-76.3871298
86,37.1022602,-76.3871298
87,37.1022601,-76.3871297
88,37.1022601,-76.3871296
89,37.1022601,-76.3871295
90,37.1022601,-76.3871293
91,37.1022601,-76.3871292
92,37.1022601,-76.387129
93,37.1022602,-76.387129
94,37.1022602,-76.3871289
95,37.1022598,-76.3871267
96,37.1022601,-76.3871288
97,37.10226,-76.3871288
98,37.1022599,-76.3871287
99,37.1022591,-76.3871266
100,37.1022596,-76.3871286
101,37.1022588,-76.3871266
102,37.1022593,-76.3871285
103,37.1022587,-76.3871267
104,37.1022591,-76.3871284
105,37.1022585,-76.3871268
106,37.102259,-76.3871285
107,37.1022583,-76.3871271
108,37.1022589,-76.3871287
109,37.1022579,-76.3871273
110,37.1022588,-76.3871288
111,37.1022588,-76.3871289
112,37.1022587,-76.387129
113,37.1022587,-76.3871291
