,lat,lng
0,37.1023051,-76.3869684
1,37.1023051,-76.3869684
2,37.1023052,-76.3869684
3,37.1023053,-76.3869684
4,37.1023054,-76.3869684
5,37.1023055,-76.3869684
6,37.1023056,-76.3869684
7,37.1023057,-76.3869684
8,37.1023057,-76.3869684
9,37.1023058,-76.3869684
10,37.1023058,-76.3869684
11,37.1023059,-76.3869684
12,37.1023059,-76.3869684
13,37.1023059,-76.3869684
14,37.102306,-76.3869685
15,37.102306,-76.3869685
16,37.1023061,-76.3869685
17,37.1023061,-76.3869685
18,37.1023061,-76.3869685
19,37.1023061,-76.3869685
20,37.1023059,-76.3869676
21,37.102306,-76.3869685
22,37.102306,-76.3869685
23,37.102306,-76.3869685
24,37.1023059,-76.3869684
25,37.1023058,-76.3869684
26,37.1023058,-76.3869683
27,37.1023057,-76.3869683
28,37.1023059,-76.3869674
29,37.1023056,-76.3869682
30,37.1023059,-76.3869676
31,37.1023055,-76.3869681
32,37.1023057,-76.3869677
33,37.1023054,-76.3869681
34,37.1023053,-76.3869681
35,37.1023053,-76.3869681
36,37.1023053,-76.3869681
37,37.1023053,-76.3869681
38,37.1023061,-76.3869677
39,37.1023052,-76.3869681
40,37.1023062,-76.3869676
41,37.1023051,-76.3869682
42,37.1023064,-76.3869675
43,37.1023051,-76.3869682
44,37.1023063,-76.3869674
45,37.1023051,-76.3869682
46,37.1023064,-76.3869674
47,37.102305,-76.3869682
48,37.1023065,-76.3869674
49,37.102305,-76.3869682
50,37.1023068,-76.3869675
51,37.102305,-76.3869682
52,37.1023069,-76.3869676
53,37.1023052,-76.3869682
54,37.1023068,-76.3869676
55,37.1023053,-76.3869683
56,37.1023067,-76.3869674
57,37.1023053,-76.3869683
58,37.1023066,-76.3869674
59,37.1023054,-76.3869683
60,37.1023064,-76.3869674
61,37.1023053,-76.3869682
62,37.1023062,-76.3869673
63,37.1023053,-76.3869681
64,37.1023061,-76.3869674
65,37.1023051,-76.386968
66,37.1023058,-76.3869672
67,37.1023048,-76.3869679
68,37.1023055,-76.3869674
69,37.1023046,-76.3869678
70,37.1023052,-76.3869675
71,37.1023043,-76.386968
72,37.1023049,-76.3869674
73,37.102304,-76.3869683
74,37.1023046,-76.3869674
75,37.1023036,-76.3869684
76,37.1023041,-76.386967
77,37.1023032,-76.3869683
78,37.102304,-76.3869668
79,37.102303,-76.386968
80,37.1023039,-76.3869668
81,37.1023031,-76.3869678
82,37.102304,-76.386967
83,37.1023033,-76.3869678
84,37.102304,-76.3869673
85,37.1023037,-76.386968
86,37.1023039,-76.3869676
87,37.1023039,-76.3869683
88,37.1023041,-76.386968
89,37.1023041,-76.3869686
90,37.1023044,-76.3869684
91,37.1023044,-76.3869689
92,37.1023046,-76.3869687
93,37.1023046,-76.386969
94,37.1023048,-76.3869687
95,37.1023048,-76.3869691
96,37.1023049,-76.3869686
97,37.1023049,-76.3869689
98,37.102305,-76.3869686
99,37.102305,-76.3869687
100,37.1023049,-76.3869688
101,37.102305,-76.3869686
102,37.1023046,-76.386969
103,37.1023045,-76.386969
104,37.1023048,-76.3869686
105,37.1023044,-76.3869691
106,37.1023047,-76.3869685
107,37.1023043,-76.3869691
108,37.1023047,-76.3869683
109,37.1023041,-76.386969
110,37.1023048,-76.3869681
111,37.1023042,-76.3869689
112,37.102305,-76.386968
113,37.1023044,-76.3869687
114,37.1023053,-76.3869679
115,37.1023047,-76.3869686
116,37.1023056,-76.3869678
117,37.1023049,-76.3869686
118,37.1023059,-76.3869678
119,37.1023048,-76.3869686
120,37.1023061,-76.386968
121,37.1023046,-76.3869688
122,37.1023061,-76.3869683
123,37.1023043,-76.3869691
124,37.102306,-76.3869686
125,37.1023041,-76.3869692
126,37.1023041,-76.3869692
127,37.1023058,-76.3869689
128,37.1023043,-76.3869693
129,37.1023057,-76.3869688
130,37.1023043,-76.3869691
131,37.1023057,-76.3869686
132,37.1023044,-76.3869693
133,37.1023056,-76.3869684
134,37.1023047,-76.3869696
135,37.1023056,-76.3869685
136,37.102305,-76.3869697
137,37.1023056,-76.3869687
138,37.1023053,-76.3869701
139,37.1023057,-76.3869689
140,37.1023053,-76.3869705
141,37.1023058,-76.3869691
142,37.102305,-76.3869709
143,37.1023058,-76.3869693
144,37.1023049,-76.3869709
145,37.1023057,-76.3869694
146,37.1023049,-76.3869709
147,37.1023056,-76.3869692
148,37.102305,-76.3869709
149,37.1023055,-76.3869691
150,37.1023055,-76.3869691
151,37.1023055,-76.3869709
152,37.1023056,-76.386969
153,37.1023057,-76.386971
154,37.1023058,-76.3869691
155,37.1023057,-76.3869713
156,37.102306,-76.3869693
157,37.1023061,-76.3869715
158,37.1023062,-76.3869697
159,37.1023063,-76.3869717
160,37.1023064,-76.3869701
161,37.1023064,-76.3869719
162,37.1023065,-76.3869703
163,37.1023063,-76.3869719
164,37.1023063,-76.3869703
165,37.1023061,-76.3869721
166,37.1023061,-76.3869702
167,37.1023057,-76.3869719
168,37.1023059,-76.3869701
169,37.1023058,-76.3869699
170,37.1023056,-76.3869697
171,37.1023054,-76.3869696
172,37.1023048,-76.3869714
173,37.1023052,-76.3869694
174,37.1023044,-76.3869709
175,37.1023049,-76.3869691
176,37.102304,-76.3869705
177,37.1023047,-76.3869686
178,37.1023039,-76.3869702
179,37.1023043,-76.3869682
180,37.1023038,-76.38697
181,37.102304,-76.3869679
182,37.1023036,-76.3869701
183,37.1023038,-76.3869678
184,37.1023037,-76.3869703
185,37.1023039,-76.3869679
186,37.102304,-76.3869704
187,37.1023041,-76.386968
188,37.1023052,-76.3869702
189,37.1023043,-76.3869681
190,37.1023059,-76.3869702
191,37.1023048,-76.3869679
192,37.1023065,-76.3869705
193,37.1023069,-76.3869705
194,37.1023055,-76.3869678
195,37.1023072,-76.3869707
196,37.1023059,-76.3869678
197,37.1023073,-76.3869706
198,37.1023061,-76.3869679
199,37.1023072,-76.3869706
200,37.1023062,-76.386968
201,37.1023073,-76.3869705
202,37.1023062,-76.3869679
203,37.1023075,-76.3869703
204,37.1023063,-76.3869678
205,37.1023076,-76.3869701
206,37.1023062,-76.3869676
207,37.1023077,-76.38697
208,37.1023062,-76.3869674
209,37.1023078,-76.3869698
210,37.1023061,-76.3869674
211,37.1023075,-76.3869698
212,37.102306,-76.3869674
213,37.1023072,-76.3869699
214,37.1023071,-76.38697
