,timeus,volt,voltr,curr,currtot,enrgtot,temp,res,vcc,vservo,flags,safety
2767,3305279441.0,21.69213,22.73737,48.42251,4078.448,90.40849,0.0,0.0215858,4.966113,1.817,1.0,6.0
2768,3305383516.0,21.68971,22.74708,48.98475,4079.878,90.4395,0.0,0.0215858,4.822705,1.81,1.0,6.0
2769,3305487198.0,21.65842,22.71387,48.85874,4081.267,90.46957,0.0,0.02160192,4.961279,0.751,1.0,6.0
2770,3305592222.0,21.68485,22.75128,49.36706,4082.744,90.50162,0.0,0.02160192,4.751807,1.819,1.0,6.0
2771,3305697713.0,21.68323,22.73265,48.57351,4084.137,90.53182,0.0,0.0216046,4.970947,0.758,1.0,6.0
2772,3305801962.0,21.70346,22.74816,48.31328,4085.55,90.56248,0.0,0.02162345,4.763086,1.242,1.0,6.0
2773,3305906174.0,21.66382,22.69726,47.79282,4086.92,90.59216,0.0,0.02162345,4.970947,1.812,1.0,6.0
2774,3306010559.0,21.70912,22.74533,47.87956,4088.324,90.62265,0.0,0.02164204,4.709912,1.822,1.0,6.0
2775,3306115369.0,21.7253,22.76262,47.85707,4089.707,90.65269,0.0,0.02167526,4.979004,1.807,1.0,6.0
2776,3306220081.0,21.7342,22.77706,48.02092,4091.114,90.68326,0.0,0.02171692,4.661572,0.754,1.0,6.0
2777,3306323797.0,21.70517,22.76049,48.59457,4092.491,90.71315,0.0,0.02171692,4.793701,1.285,1.0,6.0
2778,3306428005.0,21.69456,22.77008,49.58232,4093.956,90.74494,0.0,0.02169166,4.666406,1.807,1.0,6.0
2779,3306533655.0,21.66382,22.75596,50.3598,4095.424,90.77673,0.0,0.02168669,4.838818,1.81,1.0,6.0
2780,3306638365.0,21.70265,22.7842,49.87146,4096.872,90.80816,0.0,0.02168669,4.721191,1.817,1.0,6.0
2781,3306743003.0,21.67919,22.7653,50.10278,4098.33,90.83977,0.0,0.02167768,4.740527,0.763,1.0,6.0
2782,3306846844.0,21.67677,22.75897,49.92287,4099.757,90.8707,0.0,0.02167745,4.845263,1.302,1.0,6.0
2783,3306950725.0,21.67029,22.77287,50.90276,4101.24,90.90283,0.0,0.02166042,4.811426,1.822,1.0,6.0
2784,3307055967.0,21.66463,22.74687,49.92608,4102.705,90.93458,0.0,0.02167694,4.97417,1.817,1.0,6.0
2785,3307161443.0,21.68162,22.78581,51.0152,4104.198,90.96693,0.0,0.02164432,4.640625,1.817,1.0,6.0
2786,3307265103.0,21.69887,22.79463,50.62575,4105.632,90.99806,0.0,0.02164432,4.790478,0.756,1.0,6.0
2787,3307369514.0,21.70427,22.80442,50.82886,4107.139,91.03076,0.0,0.02164432,4.76792,1.247,1.0,6.0
2788,3307474901.0,21.73662,22.79983,49.05864,4108.557,91.06159,0.0,0.02167204,4.935498,1.81,1.0,6.0
2789,3307578786.0,21.74553,22.79916,48.5703,4109.958,91.09205,0.0,0.02169305,4.642236,1.817,1.0,6.0
2790,3307683222.0,21.77384,22.77819,46.31174,4111.31,91.12148,0.0,0.02168683,4.774365,1.815,1.0,6.0
2791,3307787975.0,21.76008,22.78181,47.11493,4112.677,91.15123,0.0,0.0216859,4.858154,0.7460001,1.0,6.0
2792,3307891685.0,21.71325,22.73804,47.25593,4114.029,91.18058,0.0,0.0216859,4.716357,1.254,1.0,6.0
2793,3307995866.0,21.71802,22.76915,48.47071,4115.448,91.2114,0.0,0.0216859,4.734082,1.817,1.0,6.0
2794,3308100046.0,21.66948,22.74261,49.39919,4116.859,91.24197,0.0,0.02172368,4.717968,1.22,1.0,6.0
2795,3308204352.0,21.67757,22.74328,48.98475,4118.298,91.27318,0.0,0.02175602,4.866211,1.817,1.0,6.0
2796,3308308538.0,21.70831,22.74877,47.86671,4119.665,91.30283,0.0,0.02173666,4.771142,1.817,1.0,6.0
2797,3308414039.0,21.70346,22.73093,47.26914,4121.086,91.33369,0.0,0.02173666,4.964502,1.817,1.0,6.0
2798,3308520616.0,21.72206,22.72737,46.31816,4122.436,91.363,0.0,0.02170442,4.674463,0.725,1.0,6.0
2799,3308626079.0,21.73582,22.7231,45.55032,4123.778,91.39217,0.0,0.02167452,4.869433,1.256,1.0,6.0
2800,3308731725.0,21.73339,22.73707,46.32459,4125.132,91.4216,0.0,0.02166628,4.693799,1.817,1.0,6.0
2801,3308836830.0,21.72287,22.73961,46.93502,4126.501,91.45133,0.0,0.02166256,4.706689,1.817,1.0,6.0
2802,3308940667.0,21.78966,22.77114,45.24261,4127.792,91.47946,0.0,0.02169382,4.891992,1.827,1.0,6.0
2803,3309044531.0,21.78921,22.74259,43.96001,4129.074,91.50741,0.0,0.02168746,4.82915,0.751,1.0,6.0
2804,3309149448.0,21.76817,22.75262,45.38004,4130.396,91.53617,0.0,0.02169334,4.726025,1.203,1.0,6.0
2805,3309253398.0,21.76736,22.74862,45.23226,4131.689,91.56432,0.0,0.02169363,4.81626,1.817,1.0,6.0
2806,3309357523.0,21.72368,22.76456,48.02414,4133.094,91.59485,0.0,0.02167415,4.898438,1.817,1.0,6.0
2807,3309461645.0,21.69294,22.7686,49.6787,4134.517,91.62571,0.0,0.02165228,4.75664,1.817,1.0,6.0
2808,3309564752.0,21.70427,22.78277,49.89395,4135.946,91.65674,0.0,0.02161599,4.932275,0.717,1.0,6.0
